datetime,tempmax,tempmin,temp,feelslike,precip,windspeed,windgust,sealevelpressure
2024-01-01,22.9,13.0,18.3,18.3,0.0,16.9,20.9,1019.6
2024-01-02,24.4,18.1,20.0,20.0,14.182,16.3,33.1,1015.7
2024-01-03,26.6,17.8,20.8,20.8,0.89,16.4,27.0,1014.3
2024-01-04,21.4,17.8,19.4,19.4,0.151,15.1,26.6,1019.2
2024-01-05,28.1,15.8,21.9,22.0,0.0,14.9,18.7,1019.5
2024-01-06,32.5,16.5,24.6,24.7,0.0,20.5,20.2,1016.0
2024-01-07,27.0,20.1,22.8,22.8,0.233,23.6,48.2,1009.8
2024-01-08,21.0,17.6,19.5,19.5,37.747,12.1,31.3,1009.0
2024-01-09,23.9,15.8,20.4,20.4,23.761,16.1,28.4,1012.9
2024-01-10,25.5,17.0,20.3,20.3,0.178,19.1,22.3,1013.4
2024-01-11,23.0,17.4,19.8,19.8,0.0,18.6,21.2,1020.1
2024-01-12,32.5,16.5,23.5,23.9,0.0,15.1,24.8,1016.5
2024-01-13,21.8,16.6,19.4,19.4,0.371,15.4,27.4,1019.1
2024-01-14,22.5,16.0,19.2,19.2,0.014,19.1,27.7,1020.9
2024-01-15,29.6,17.3,23.0,23.1,0.0,16.9,22.7,1017.7
2024-01-16,31.2,20.7,26.1,26.1,0.026,24.1,55.8,1010.4
2024-01-17,25.7,17.1,20.7,20.7,11.868,21.7,48.2,1004.9
2024-01-18,21.4,14.1,17.3,17.3,0.296,20.3,40.7,1006.4
2024-01-19,20.2,14.5,17.2,17.2,0.002,13.4,34.9,1010.5
2024-01-20,28.0,14.0,20.8,20.7,0.033,18.4,55.1,1006.6
2024-01-21,20.8,16.0,18.4,18.4,0.0,18.8,29.9,1008.2
2024-01-22,19.6,15.0,17.3,17.3,0.0,18.4,28.8,1015.5
2024-01-23,31.1,12.6,21.7,21.3,0.0,13.1,36.4,1010.9
2024-01-24,30.1,18.5,24.0,23.9,0.211,26.2,67.3,1006.1
2024-01-25,23.5,17.0,19.1,19.1,0.082,15.9,32.4,1008.1
2024-01-26,22.2,16.4,18.6,18.6,5.235,17.5,36.7,1007.1
2024-01-27,24.0,11.9,18.2,18.2,0.002,15.3,30.6,1008.9
2024-01-28,26.1,15.4,20.2,20.2,0.0,12.8,23.8,1011.2
2024-01-29,26.7,16.8,20.8,20.9,0.0,18.8,24.1,1011.5
2024-01-30,22.3,17.5,19.8,19.8,0.0,17.7,22.7,1015.2
2024-01-31,21.3,15.8,18.5,18.5,0.0,18.6,23.8,1017.2
2024-02-01,23.8,14.9,19.4,19.4,0.0,15.7,30.2,1015.1
2024-02-02,20.6,15.9,18.2,18.2,0.0,17.0,30.6,1014.0
2024-02-03,32.3,11.9,20.9,20.5,0.0,16.7,17.3,1010.1
2024-02-04,37.0,15.3,25.4,24.8,0.0,26.4,51.5,1003.2
2024-02-05,22.5,17.2,19.5,19.5,0.019,16.6,35.3,1007.1
2024-02-06,20.7,15.7,17.9,17.9,0.974,17.2,26.6,1018.2
2024-02-07,21.9,12.2,17.6,17.6,0.178,18.8,27.4,1023.7
2024-02-08,21.8,14.5,18.2,18.2,0.0,17.3,30.6,1025.0
2024-02-09,20.8,17.0,18.9,18.9,0.0,18.7,27.7,1025.5
2024-02-10,26.3,15.0,20.1,20.1,0.0,14.6,25.9,1023.7
2024-02-11,33.0,17.4,24.2,24.1,0.0,24.3,48.2,1017.7
2024-02-12,35.5,18.8,24.7,24.7,0.0,24.6,48.2,1013.7
2024-02-13,35.2,19.5,25.4,25.4,1.044,30.2,60.5,1006.5
2024-02-14,19.3,14.4,17.0,17.0,0.0,17.0,33.8,1016.5
2024-02-15,20.3,12.2,16.6,16.6,0.052,18.0,23.0,1021.9
2024-02-16,21.8,12.9,17.7,17.7,0.0,18.7,20.2,1022.2
2024-02-17,22.4,14.2,18.5,18.5,0.0,16.3,19.1,1021.7
2024-02-18,21.4,15.5,18.7,18.7,0.0,16.9,24.1,1021.1
2024-02-19,21.8,17.1,19.0,19.0,0.0,18.5,22.7,1020.2
2024-02-20,28.0,16.3,22.0,22.1,0.0,14.8,21.6,1015.1
2024-02-21,33.6,19.6,26.7,26.3,0.026,20.1,45.7,1012.6
2024-02-22,35.6,20.1,26.5,26.5,0.0,29.8,56.5,1006.8
2024-02-23,21.5,16.5,18.7,18.7,3.481,17.0,30.2,1011.8
2024-02-24,20.2,15.5,17.7,17.7,0.0,16.9,28.4,1019.2
2024-02-25,30.6,11.7,20.1,19.8,0.002,17.2,37.8,1014.8
2024-02-26,20.0,15.6,18.2,18.2,0.019,20.1,23.8,1018.4
2024-02-27,27.5,12.9,19.6,19.7,0.0,11.6,22.0,1014.3
2024-02-28,36.1,18.4,26.4,26.1,0.0,24.7,59.4,1009.3
2024-02-29,24.6,18.1,20.6,20.6,0.0,16.2,24.8,1013.2
2024-03-01,26.8,14.3,19.5,19.5,0.0,18.8,25.2,1014.1
2024-03-02,20.2,15.1,17.9,17.9,0.0,18.9,23.4,1017.5
2024-03-03,20.7,12.7,16.2,16.2,0.014,21.1,31.3,1019.6
2024-03-04,20.2,13.1,16.8,16.8,0.0,18.1,26.6,1022.9
2024-03-05,31.2,11.8,21.0,20.5,0.0,18.9,29.5,1017.5
2024-03-06,25.4,15.4,20.1,20.1,0.0,18.5,24.1,1017.2
2024-03-07,21.7,15.5,18.8,18.8,0.0,18.7,24.8,1023.9
2024-03-08,25.6,14.0,19.6,19.6,0.0,14.9,20.2,1021.5
2024-03-09,37.0,17.0,27.4,27.1,0.0,28.3,52.2,1017.7
2024-03-10,36.7,26.0,31.3,30.4,0.0,24.2,53.3,1020.6
2024-03-11,34.6,20.9,27.9,27.1,0.0,22.4,43.9,1019.5
2024-03-12,28.2,18.5,22.2,22.1,0.0,14.9,43.9,1017.6
2024-03-13,19.1,16.0,18.0,18.0,1.64,11.0,18.7,1016.9
