name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
melbourne,2024-01-01,22.9,13,18.3,22.9,13,18.3,12.8,71,0,0,0,,0,0,20.9,16.9,197.5,1019.6,60.7,14.2,0,0,0,10,2024-01-01T06:01:12,2024-01-01T20:45:14,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-02,24.4,18.1,20,24.4,18.1,20,17.3,84.9,14.182,100,4.17,rain,0,0,33.1,16.3,257.5,1015.7,97.2,10.8,0,0,0,10,2024-01-02T06:01:59,2024-01-02T20:45:23,0.69,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-03,26.6,17.8,20.8,26.6,17.8,20.8,19.1,90.9,0.89,100,4.17,rain,0,0,27,16.4,180.7,1014.3,82.3,13.5,0,0,0,30,2024-01-03T06:02:48,2024-01-03T20:45:29,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-04,21.4,17.8,19.4,21.4,17.8,19.4,16.2,81.8,0.151,100,8.33,rain,0,0,26.6,15.1,196.2,1019.2,83.3,13.1,0,0,0,10,2024-01-04T06:03:38,2024-01-04T20:45:33,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-05,28.1,15.8,21.9,29.1,15.8,22,16.6,73.8,0,0,0,,0,0,18.7,14.9,175,1019.5,51.1,16,0,0,0,10,2024-01-05T06:04:29,2024-01-05T20:45:36,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-06,32.5,16.5,24.6,32.4,16.5,24.7,15.7,61.2,0,0,0,,0,0,20.2,20.5,5.8,1016,66.2,17.5,0,0,0,10,2024-01-06T06:05:22,2024-01-06T20:45:36,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-07,27,20.1,22.8,27.4,20.1,22.8,18.3,77.4,0.233,100,8.33,rain,0,0,48.2,23.6,12.8,1009.8,99.1,17.4,0,0,0,10,2024-01-07T06:06:15,2024-01-07T20:45:34,0.86,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-08,21,17.6,19.5,21,17.6,19.5,19.3,98.8,37.747,100,16.67,rain,0,0,31.3,12.1,209.4,1009,98.8,8.6,0,0,0,10,2024-01-08T06:07:10,2024-01-08T20:45:30,0.89,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-09,23.9,15.8,20.4,23.9,15.8,20.4,16.2,77.8,23.761,100,4.17,rain,0,0,28.4,16.1,199.8,1012.9,47.3,16.9,0,0,0,10,2024-01-09T06:08:07,2024-01-09T20:45:23,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-10,25.5,17,20.3,25.5,17,20.3,16.3,79.1,0.178,100,4.17,rain,0,0,22.3,19.1,190.2,1013.4,14.4,14.5,0,0,0,10,2024-01-10T06:09:04,2024-01-10T20:45:15,0.95,Rain,Clear conditions throughout the day with morning rain.,rain,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-11,23,17.4,19.8,23,17.4,19.8,13.6,67.5,0,0,0,,0,0,21.2,18.6,178.7,1020.1,22.1,16.8,0,0,0,10,2024-01-11T06:10:02,2024-01-11T20:45:04,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-12,32.5,16.5,23.5,34.8,16.5,23.9,16.6,68.1,0,0,0,,0,0,24.8,15.1,233.4,1016.5,36.6,17.2,0,0,0,10,2024-01-12T06:11:01,2024-01-12T20:44:52,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-13,21.8,16.6,19.4,21.8,16.6,19.4,14.9,75.2,0.371,100,8.33,rain,0,0,27.4,15.4,178.8,1019.1,67.1,15.8,0,0,0,10,2024-01-13T06:12:02,2024-01-13T20:44:37,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"94860099999,D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94872099999,94864099999,94870099999"
melbourne,2024-01-14,22.5,16,19.2,22.5,16,19.2,13.3,69,0.014,100,4.17,rain,0,0,27.7,19.1,180.9,1020.9,86.9,16.5,0,0,0,10,2024-01-14T06:13:03,2024-01-14T20:44:21,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-15,29.6,17.3,23,29.7,17.3,23.1,15.7,65.1,0,0,0,rain,0,0,22.7,16.9,151.9,1017.7,49.1,19.7,0,0,0,30,2024-01-15T06:14:05,2024-01-15T20:44:02,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-16,31.2,20.7,26.1,31,20.7,26.1,14.9,51.5,0.026,100,4.17,rain,0,0,55.8,24.1,356.8,1010.4,35.3,18.8,0,0,0,10,2024-01-16T06:15:07,2024-01-16T20:43:41,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"94860099999,D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94872099999,94864099999,94870099999"
melbourne,2024-01-17,25.7,17.1,20.7,25.7,17.1,20.7,14.5,69,11.868,100,8.33,rain,0,0,48.2,21.7,296.7,1004.9,70,16.2,0,0,0,10,2024-01-17T06:16:11,2024-01-17T20:43:18,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-18,21.4,14.1,17.3,21.4,14.1,17.3,8.9,58.1,0.296,100,8.33,rain,0,0,40.7,20.3,269.7,1006.4,40.4,17.8,0,0,0,10,2024-01-18T06:17:15,2024-01-18T20:42:53,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-19,20.2,14.5,17.2,20.2,14.5,17.2,11.5,69.3,0.002,100,4.17,rain,0,0,34.9,13.4,227.8,1010.5,88.9,17.8,0,0,0,10,2024-01-19T06:18:19,2024-01-19T20:42:27,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-20,28,14,20.8,27.5,14,20.7,12.3,63,0.033,100,4.17,rain,0,0,55.1,18.4,12.5,1006.6,72.5,20.4,0,0,0,10,2024-01-20T06:19:25,2024-01-20T20:41:58,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-21,20.8,16,18.4,20.8,16,18.4,12,66.5,0,0,0,rain,0,0,29.9,18.8,210.7,1008.2,41,17.6,0,0,0,10,2024-01-21T06:20:30,2024-01-21T20:41:27,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-22,19.6,15,17.3,19.6,15,17.3,8.7,57.3,0,0,0,rain,0,0,28.8,18.4,174.7,1015.5,83.4,16.7,0,0,0,10,2024-01-22T06:21:37,2024-01-22T20:40:54,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-23,31.1,12.6,21.7,29.8,12.6,21.3,11.7,58.8,0,0,0,,0,0,36.4,13.1,13.6,1010.9,48,17.4,0,0,0,10,2024-01-23T06:22:43,2024-01-23T20:40:20,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-24,30.1,18.5,24,29.7,18.5,23.9,13.5,53.5,0.211,100,4.17,rain,0,0,67.3,26.2,288.5,1006.1,37.9,17.5,0,0,0,10,2024-01-24T06:23:50,2024-01-24T20:39:43,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999,94870099999"
melbourne,2024-01-25,23.5,17,19.1,23.5,17,19.1,14.5,75.1,0.082,100,8.33,rain,0,0,32.4,15.9,1,1008.1,95.9,17.2,0,0,0,10,2024-01-25T06:24:58,2024-01-25T20:39:05,0.48,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-26,22.2,16.4,18.6,22.2,16.4,18.6,11.4,64.3,5.235,100,8.33,rain,0,0,36.7,17.5,230.9,1007.1,59.3,18.9,0,0,0,10,2024-01-26T06:26:05,2024-01-26T20:38:25,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-27,24,11.9,18.2,24,11.9,18.2,9.5,58.2,0.002,100,4.17,rain,0,0,30.6,15.3,236.5,1008.9,39,18.5,0,0,0,10,2024-01-27T06:27:13,2024-01-27T20:37:43,0.54,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-28,26.1,15.4,20.2,26.1,15.4,20.2,12.9,63.9,0,0,0,,0,0,23.8,12.8,219.7,1011.2,49.6,17.9,0,0,0,10,2024-01-28T06:28:21,2024-01-28T20:36:59,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-29,26.7,16.8,20.8,27.2,16.8,20.9,15.7,74.1,0,0,0,,0,0,24.1,18.8,194.5,1011.5,10.7,17.6,0,0,0,10,2024-01-29T06:29:29,2024-01-29T20:36:13,0.61,Clear,Clear conditions throughout the day.,clear-day,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-30,22.3,17.5,19.8,22.3,17.5,19.8,13.4,67.2,0,0,0,,0,0,22.7,17.7,178.3,1015.2,20.8,18.2,0,0,0,10,2024-01-30T06:30:38,2024-01-30T20:35:26,0.64,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-01-31,21.3,15.8,18.5,21.3,15.8,18.5,11.4,63.5,0,0,0,rain,0,0,23.8,18.6,181.6,1017.2,28.7,14.7,0,0,0,10,2024-01-31T06:31:46,2024-01-31T20:34:37,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94860099999,D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94872099999,94864099999,94870099999"
melbourne,2024-02-01,23.8,14.9,19.4,23.8,14.9,19.4,12.8,66,0,0,0,,0,0,30.2,15.7,213,1015.1,32.9,17.3,0,0,0,10,2024-02-01T06:32:55,2024-02-01T20:33:46,0.71,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-02-02,20.6,15.9,18.2,20.6,15.9,18.2,11,63.6,0,0,0,rain,0,0,30.6,17,211.7,1014,11.9,18.6,0,0,0,10,2024-02-02T06:34:03,2024-02-02T20:32:54,0.74,Clear,Clear conditions throughout the day.,clear-day,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-02-03,32.3,11.9,20.9,30.6,11.9,20.5,10.4,56.7,0,0,0,,0,0,17.3,16.7,228.1,1010.1,4.5,15.8,0,0,0,10,2024-02-03T06:35:12,2024-02-03T20:32:00,0.75,Clear,Clear conditions throughout the day.,clear-day,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-02-04,37,15.3,25.4,35,15.3,24.8,12.5,54,0,0,0,,0,0,51.5,26.4,348.3,1003.2,3.4,19.1,0,0,0,10,2024-02-04T06:36:20,2024-02-04T20:31:05,0.81,Clear,Clear conditions throughout the day.,clear-day,"D6954,95874099999,94866099999,95936099999,95866099999,94865099999,94864099999"
