Temperature,Humidity,WindSpeed,Pressure,Visibility
9.472222222,0.89,14.1197,1015.13,15.8263
9.355555556,0.86,14.2646,1015.63,15.8263
9.377777778,0.89,3.9284,1015.94,14.9569
8.288888889,0.83,14.1036,1016.41,15.8263
8.755555556,0.83,11.0446,1016.51,15.8263
9.222222222,0.85,13.9587,1016.66,14.9569
7.733333333,0.95,12.3648,1016.72,9.982
8.772222222,0.89,14.1519,1016.84,9.982
10.82222222,0.82,11.3183,1017.37,9.982
13.77222222,0.72,12.5258,1017.22,9.982
16.01666667,0.67,17.5651,1017.42,11.2056
17.14444444,0.54,19.7869,1017.74,11.4471
17.8,0.55,21.9443,1017.59,11.27
17.33333333,0.51,20.6885,1017.48,11.27
18.87777778,0.47,15.3755,1017.17,11.4471
18.91111111,0.46,10.4006,1016.47,11.27
15.38888889,0.6,14.4095,1016.15,11.27
15.55,0.63,11.1573,1016.17,11.4471
14.25555556,0.69,8.5169,1015.82,11.2056
13.14444444,0.7,7.6314,1015.83,11.2056
11.55,0.77,7.3899,1015.85,11.0285
11.18333333,0.76,4.9266,1015.77,9.982
10.11666667,0.79,6.6493,1015.4,15.8263
10.2,0.77,3.9284,1015.51,14.9569
10.42222222,0.62,16.9855,1014.4,15.8263
9.911111111,0.66,17.2109,1014.2,15.8263
11.18333333,0.8,10.8192,1008.71,14.9569
7.155555556,0.79,11.0768,1014.47,15.8263
6.111111111,0.82,6.6493,1014.45,15.8263
6.788888889,0.83,13.0088,1014.49,14.9569
7.261111111,0.85,11.1734,1014.52,6.1985
7.8,0.83,12.8156,1014.16,8.05
9.872222222,0.78,13.7494,1014.24,9.982
12.22222222,0.72,15.6331,1014.25,9.982
15.09444444,0.61,17.549,1013.96,9.982
17.35555556,0.52,22.7815,1013.85,9.982
19.00555556,0.46,23.8924,1013.04,9.982
21.18333333,0.37,25.6956,1010.52,9.982
20.11666667,0.4,25.3092,1009.83,9.982
20.21666667,0.36,18.1125,1009.26,10.3523
