name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
melbourne,2024-08-01,60.6,33.5,45.2,60.6,25.7,43.1,38.4,80.2,0.007,100,4.17,rain,0,0,12.1,9.7,21,1033.1,13.4,8,55,4.8,5,10,2024-08-01T07:20:17,2024-08-01T17:33:10,0.88,Rain,Clear conditions throughout the day with morning rain.,rain,"YMAV,95874099999,C9254,94866099999,C7520,95936099999,95866099999,94865099999,YMML,94864099999,94870099999"
melbourne,2024-08-02,59.9,39.1,48.9,59.9,34.3,47.1,38.5,70.1,0,0,0,,0,0,28.9,17,5.4,1028.3,58.9,10.6,54.5,4.7,6,10,2024-08-02T07:19:19,2024-08-02T17:34:00,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C9254,95874099999,94866099999,95936099999,C7520,95866099999,94865099999,94864099999"
melbourne,2024-08-03,57.2,43.6,50.9,57.2,40.2,50.2,41.9,72.2,0,0,0,rain,0,0,29.5,19.7,358.4,1027.7,68.5,9.6,58.6,5,3,10,2024-08-03T07:18:20,2024-08-03T17:34:49,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YMAV,95874099999,C9254,94866099999,C7520,95936099999,95866099999,94865099999,YMML,94864099999"
melbourne,2024-08-04,59.1,36.3,47,59.1,29.2,45.7,40,79.3,0,0,0,,0,0,7.4,9.8,34.1,1027.6,83.5,9.5,63.5,5.7,5,10,2024-08-04T07:17:20,2024-08-04T17:35:39,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YMAV,95874099999,C9254,94866099999,C7520,95936099999,95866099999,94865099999,YMML,94864099999"
melbourne,2024-08-05,59,43.4,49.4,59,40.4,48.4,43,80.1,0,0,0,,0,0,14.5,5.8,16.6,1023.6,64.7,10.3,79.3,7.1,6,10,2024-08-05T07:16:18,2024-08-05T17:36:30,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,C9254,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-06,62.5,44.1,52.8,62.5,41.3,51.8,41.9,69,0,0,0,,0,0,21,13,350.5,1022.6,36.1,9.9,125,10.9,6,10,2024-08-06T07:15:15,2024-08-06T17:37:20,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,C9254,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-07,63.5,47.2,54.1,63.5,45.6,53.5,43.2,67.6,0,0,0,,0,0,27.5,13.6,357.7,1024.2,51,10.2,117.5,10.1,5,10,2024-08-07T07:14:10,2024-08-07T17:38:10,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,C9254,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-08,56.4,49,53.7,56.4,47,53.6,41.9,64.3,0,0,0,rain,0,0,32.4,17.8,0.1,1022.4,90.6,10.3,74.7,6.5,4,10,2024-08-08T07:13:05,2024-08-08T17:39:01,0.12,Overcast,Cloudy skies throughout the day.,cloudy,"C9254,95874099999,94866099999,95936099999,C7520,95866099999,94865099999,94864099999"
melbourne,2024-08-09,62.8,51.4,55.8,62.8,51.4,55.8,43,63.1,0,0,0,rain,0,0,28.4,10.4,347.6,1025.2,73.3,10.6,115.7,10.2,7,10,2024-08-09T07:11:58,2024-08-09T17:39:51,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C9254,95874099999,94866099999,95936099999,C7520,95866099999,94865099999,94864099999"
melbourne,2024-08-10,62.7,45.2,52.6,62.7,42.4,51.7,44.9,76.1,0,0,0,,0,0,6.9,7.8,40.4,1028.8,49.3,10.3,126.3,11,6,10,2024-08-10T07:10:50,2024-08-10T17:40:42,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-11,66.2,42.2,52.8,66.2,39.6,51.9,44.4,75.7,0,0,0,,0,0,8.5,5.5,17.5,1030.1,13.8,9.6,136.7,11.9,6,10,2024-08-11T07:09:40,2024-08-11T17:41:33,0.22,Clear,Clear conditions throughout the day.,clear-day,"C9254,95874099999,94866099999,95936099999,C7520,95866099999,94865099999,94864099999"
melbourne,2024-08-12,66.6,43.6,54.7,66.6,38.1,53.5,44.6,70.8,0,0,0,,0,0,23.9,22.6,16.7,1027.8,22,7.8,139.2,12.1,6,10,2024-08-12T07:08:30,2024-08-12T17:42:24,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"YMAV,95874099999,94866099999,C7520,95936099999,95866099999,94865099999,YMML,94864099999"
melbourne,2024-08-13,67.9,47.3,58,67.9,41.7,57,48.3,71.3,0,0,0,,0,0,27.7,17.8,5.5,1023.6,27.2,8.4,134.8,11.6,6,10,2024-08-13T07:07:18,2024-08-13T17:43:14,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"YMAV,95874099999,94866099999,C7520,95936099999,YMML,95866099999,94865099999,94864099999"
melbourne,2024-08-14,70.8,54.6,61.4,70.8,54.6,61.4,50.9,69.5,0,0,0,,0,0,29.3,12.7,5.8,1018.3,62.1,10.2,108.9,9.4,6,10,2024-08-14T07:06:05,2024-08-14T17:44:05,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-15,69,55.2,61.6,69,55.2,61.6,50.1,66.9,0,0,0,,0,0,26.4,12.4,10.9,1015.9,68.5,11,97.7,8.4,6,10,2024-08-15T07:04:51,2024-08-15T17:44:56,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-16,61,52,58.5,61,52,58.5,49.8,72.9,0.002,100,4.17,rain,0,0,34.4,13,0.2,1008.5,86.9,10.5,38,3.3,2,10,2024-08-16T07:03:36,2024-08-16T17:45:47,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-17,58.2,50.2,53.5,58.2,50.2,53.5,48.4,83.5,0.04,100,8.33,rain,0,0,21,7.9,325.6,1007.7,70.3,10.6,67.2,5.9,3,10,2024-08-17T07:02:21,2024-08-17T17:46:37,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-18,59.3,44.1,54.2,59.3,44.1,54.2,50.1,86.8,0.046,100,4.17,rain,0,0,13.9,8.1,207.8,1017.6,47.4,9,68.6,5.8,3,10,2024-08-18T07:01:04,2024-08-18T17:47:28,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-19,64.3,42.1,52.5,64.3,41,51.9,47.2,84.2,0.007,100,4.17,rain,0,0,15.2,11.5,8.9,1021.5,38.5,7.9,132,11.4,6,10,2024-08-19T06:59:46,2024-08-19T17:48:19,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-20,63.6,51.9,57.8,63.6,51.9,57.8,49.7,75.4,0.015,100,4.17,rain,0,0,35.3,15,6.6,1013.6,87,12.2,52.4,4.5,4,10,2024-08-20T06:58:27,2024-08-20T17:49:09,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-21,64.5,53.8,58.7,64.5,53.8,58.7,49.7,73,0.05,100,8.33,rain,0,0,22.4,9.5,337.7,1011.9,69.7,10,87.9,7.6,5,10,2024-08-21T06:57:07,2024-08-21T17:50:00,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-22,66,52.6,58.6,66,52.6,58.6,43.5,59.2,0.145,100,4.17,rain,0,0,22.8,9.4,331.5,1017.1,44.8,10.3,145.7,12.7,6,10,2024-08-22T06:55:47,2024-08-22T17:50:51,0.58,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-23,64.7,51.7,58.3,64.7,51.7,58.3,47.7,69,0.003,100,4.17,rain,0,0,47.2,15.3,1.8,1017.8,87.1,10.3,120.8,10.5,7,10,2024-08-23T06:54:25,2024-08-23T17:51:41,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-24,70,59.2,63.5,70,59.2,63.5,49.9,61.7,0.002,100,4.17,rain,0,0,43.6,16.2,355,1010.6,17,11.1,172,14.9,7,10,2024-08-24T06:53:03,2024-08-24T17:52:32,0.65,Rain,Clear conditions throughout the day with early morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-25,73.3,53.6,60.7,73.3,53.6,60.7,50.9,71.4,0.395,100,4.17,rain,0,0,40,16.4,351,1006.7,45.4,10.7,113.4,9.7,6,30,2024-08-25T06:51:40,2024-08-25T17:53:22,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-26,65.2,55,59.6,65.2,55,59.6,46.1,61.5,0.017,100,4.17,rain,0,0,27.1,10.7,319.1,1014.4,61.6,10.6,101.8,8.7,8,10,2024-08-26T06:50:16,2024-08-26T17:54:13,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-27,67,54.5,61.1,67,54.5,61.1,47,60.3,0,0,0,,0,0,53,21,357.9,1010.9,90.5,10.7,83.8,7.3,4,10,2024-08-27T06:48:52,2024-08-27T17:55:03,0.76,Overcast,Cloudy skies throughout the day.,cloudy,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-28,67.8,51.9,58.7,67.8,51.9,58.7,39.9,51.4,0.008,100,8.33,rain,0,0,58.2,16.5,303.9,1005.4,54.3,10.1,121.1,10.2,6,10,2024-08-28T06:47:26,2024-08-28T17:55:53,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-08-29,62.7,52.6,57.1,62.7,52.6,57.1,42.1,57.7,0.046,100,8.33,rain,0,0,44.3,20,349.5,1009.1,90.8,9.4,112.6,9.7,6,10,2024-08-29T06:46:00,2024-08-29T17:56:44,0.83,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
